Algorithm,Mode,k,CId,Precision,Recall,F1
Knn,g,1,High,0.75,1,0.857143
Knn,g,1,Low,1,0.666667,0.8
Knn,g,2,High,0.75,1,0.857143
Knn,g,2,Low,1,0.666667,0.8
Knn,g,3,High,0.5,1,0.666667
Knn,g,3,Low,0,0,0
Knn,l,1,High,0.4,0.666667,0.5
Knn,l,1,Low,0,0,0
Knn,l,2,High,0.5,0.666667,0.571429
Knn,l,2,Low,0.5,0.333333,0.4
Knn,l,3,High,0.4,0.666667,0.5
Knn,l,3,Low,0,0,0
Ria,g,3,High,0.75,1,0.857143
Ria,g,3,Low,1,0.666667,0.8
Ria,l,3,High,0.6,1,0.75
Ria,l,3,Low,1,0.333333,0.5
Riona,g,1,High,0.75,1,0.857143
Riona,g,1,Low,1,0.666667,0.8
Riona,g,2,High,0.75,1,0.857143
Riona,g,2,Low,1,0.666667,0.8
Riona,g,3,High,0.5,1,0.666667
Riona,g,3,Low,0,0,0
Riona,l,1,High,0.4,0.666667,0.5
Riona,l,1,Low,0,0,0
Riona,l,2,High,0.5,0.666667,0.571429
Riona,l,2,Low,0.5,0.333333,0.4
Riona,l,3,High,0.4,0.666667,0.5
Riona,l,3,Low,0,0,0
