Algorithm,Mode,k,NCId,NPrecision,NRecall,NF1
Knn,g,1,1,0.782787,0.818571,0.800279
Knn,g,1,2,0.526119,0.47,0.496479
Knn,g,3,1,0.845161,0.561429,0.674678
Knn,g,3,2,0.426168,0.76,0.546108
Knn,g,9,1,0.848101,0.67,0.748603
Knn,g,9,2,0.483221,0.72,0.578313
Knn,l,1,1,0.779292,0.817143,0.797768
Knn,l,1,2,0.518797,0.46,0.487633
Knn,l,3,1,0.841542,0.561429,0.673522
Knn,l,3,2,0.424015,0.753333,0.542617
Knn,l,9,1,0.84153,0.66,0.739792
Knn,l,9,2,0.472284,0.71,0.567244
Ria,g,3,1,0.780906,0.911429,0.841134
Ria,g,3,2,0.661202,0.403333,0.501035
Ria,l,3,1,0.78022,0.912857,0.841343
Ria,l,3,2,0.662983,0.4,0.49896
Riona,g,1,1,0.782787,0.818571,0.800279
Riona,g,1,2,0.526119,0.47,0.496479
Riona,g,3,1,0.845161,0.561429,0.674678
Riona,g,3,2,0.426168,0.76,0.546108
Riona,g,9,1,0.847397,0.674286,0.750994
Riona,g,9,2,0.485327,0.716667,0.578735
Riona,l,1,1,0.779292,0.817143,0.797768
Riona,l,1,2,0.518797,0.46,0.487633
Riona,l,3,1,0.841542,0.561429,0.673522
Riona,l,3,2,0.424015,0.753333,0.542617
Riona,l,9,1,0.841155,0.665714,0.743222
Riona,l,9,2,0.475336,0.706667,0.568365
