Algorithm,Mode,k,CId,Precision,Recall,F1
Knn,g,1,1,0.653846,0.693878,0.673267
Knn,g,1,2,0.652174,0.6,0.625
Knn,g,1,3,0.716981,0.730769,0.72381
Knn,g,3,1,0.490909,0.55102,0.519231
Knn,g,3,2,0.536585,0.44,0.483516
Knn,g,3,3,0.545455,0.576923,0.560748
Knn,g,7,1,0.48,0.489796,0.484848
Knn,g,7,2,0.435897,0.34,0.382022
Knn,g,7,3,0.548387,0.653846,0.596491
Knn,l,1,1,0.653846,0.693878,0.673267
Knn,l,1,2,0.652174,0.6,0.625
Knn,l,1,3,0.716981,0.730769,0.72381
Knn,l,3,1,0.490909,0.55102,0.519231
Knn,l,3,2,0.536585,0.44,0.483516
Knn,l,3,3,0.545455,0.576923,0.560748
Knn,l,7,1,0.48,0.489796,0.484848
Knn,l,7,2,0.435897,0.34,0.382022
Knn,l,7,3,0.548387,0.653846,0.596491
Ria,g,3,1,0.622951,0.77551,0.690909
Ria,g,3,2,0.681818,0.6,0.638298
Ria,g,3,3,0.73913,0.653846,0.693878
Ria,l,3,1,0.622951,0.77551,0.690909
Ria,l,3,2,0.681818,0.6,0.638298
Ria,l,3,3,0.73913,0.653846,0.693878
Riona,g,1,1,0.653846,0.693878,0.673267
Riona,g,1,2,0.652174,0.6,0.625
Riona,g,1,3,0.716981,0.730769,0.72381
Riona,g,3,1,0.641509,0.693878,0.666667
Riona,g,3,2,0.627907,0.54,0.580645
Riona,g,3,3,0.672727,0.711538,0.691589
Riona,g,7,1,0.690909,0.77551,0.730769
Riona,g,7,2,0.707317,0.58,0.637363
Riona,g,7,3,0.727273,0.769231,0.747664
Riona,l,1,1,0.653846,0.693878,0.673267
Riona,l,1,2,0.652174,0.6,0.625
Riona,l,1,3,0.716981,0.730769,0.72381
Riona,l,3,1,0.641509,0.693878,0.666667
Riona,l,3,2,0.627907,0.54,0.580645
Riona,l,3,3,0.672727,0.711538,0.691589
Riona,l,7,1,0.690909,0.77551,0.730769
Riona,l,7,2,0.707317,0.58,0.637363
Riona,l,7,3,0.727273,0.769231,0.747664
