Algorithm,Mode,k,read,preprocess,classify,write,total
KNN,g,1,9.4329,0.0094,0.0471,6.2932,38.1052
KNN,g,2,9.4329,0.0094,0.051,1.3336,39.9253
KNN,g,3,9.4329,0.0094,0.0439,1.3081,41.615
KNN,l,1,9.4329,0.0094,0.0611,5.6368,47.6313
KNN,l,2,9.4329,0.0094,0.0639,1.5429,49.6613
KNN,l,3,9.4329,0.0094,0.0558,1.1543,51.2222
RIA,g,1,9.4329,0.0094,0.0246,1.154,22.0242
RIA,g,2,9.4329,0.0094,0.0229,2.1705,24.5503
RIA,g,3,9.4329,0.0094,0.0263,1.1668,26.1518
RIA,l,1,9.4329,0.0094,0.0478,1.1759,27.7067
RIA,l,2,9.4329,0.0094,0.044,1.3334,29.4659
RIA,l,3,9.4329,0.0094,0.0432,1.6051,31.4249
RIONA,g,1,9.4329,0.0094,0.0209,2.4462,11.9273
RIONA,g,2,9.4329,0.0094,0.0339,1.4244,13.8962
RIONA,g,3,9.4329,0.0094,0.0258,1.4964,15.7828
RIONA,l,1,9.4329,0.0094,0.0421,1.1015,17.2502
RIONA,l,2,9.4329,0.0094,0.0376,1.3497,18.9194
RIONA,l,3,9.4329,0.0094,0.0417,1.2498,20.5274
