Algorithm,Mode,k,CId,Precision,Recall,F1
KNN,g,1,1,0.99115,1,0.995556
KNN,g,1,2,0.965517,0.918033,0.941176
KNN,g,1,3,1,1,1
KNN,g,1,4,0.921569,0.959184,0.94
KNN,g,1,5,1,1,1
KNN,g,1,6,1,1,1
KNN,g,3,1,0.99115,1,0.995556
KNN,g,3,2,0.964912,0.901639,0.932203
KNN,g,3,3,1,1,1
KNN,g,3,4,0.903846,0.959184,0.930693
KNN,g,3,5,1,1,1
KNN,g,3,6,1,1,1
KNN,g,8,1,0.991071,0.991071,0.991071
KNN,g,8,2,0.967213,0.967213,0.967213
KNN,g,8,3,1,1,1
KNN,g,8,4,0.979167,0.959184,0.969072
KNN,g,8,5,0.981132,1,0.990476
KNN,g,8,6,1,1,1
KNN,l,1,1,0.99115,1,0.995556
KNN,l,1,2,0.965517,0.918033,0.941176
KNN,l,1,3,1,1,1
KNN,l,1,4,0.921569,0.959184,0.94
KNN,l,1,5,1,1,1
KNN,l,1,6,1,1,1
KNN,l,3,1,0.99115,1,0.995556
KNN,l,3,2,0.964912,0.901639,0.932203
KNN,l,3,3,1,1,1
KNN,l,3,4,0.903846,0.959184,0.930693
KNN,l,3,5,1,1,1
KNN,l,3,6,1,1,1
KNN,l,8,1,0.991071,0.991071,0.991071
KNN,l,8,2,0.967213,0.967213,0.967213
KNN,l,8,3,1,1,1
KNN,l,8,4,0.979167,0.959184,0.969072
KNN,l,8,5,0.981132,1,0.990476
KNN,l,8,6,1,1,1
RIA,g,1,1,0.39576,1,0.567089
RIA,g,1,2,0.666667,0.131148,0.219178
RIA,g,1,3,0.728814,0.597222,0.656489
RIA,g,1,4,1,0.183673,0.310345
RIA,g,1,5,1,0.057692,0.109091
RIA,g,1,6,0,0,0
RIA,g,3,1,0.39576,1,0.567089
RIA,g,3,2,0.666667,0.131148,0.219178
RIA,g,3,3,0.728814,0.597222,0.656489
RIA,g,3,4,1,0.183673,0.310345
RIA,g,3,5,1,0.057692,0.109091
RIA,g,3,6,0,0,0
RIA,g,8,1,0.39576,1,0.567089
RIA,g,8,2,0.666667,0.131148,0.219178
RIA,g,8,3,0.728814,0.597222,0.656489
RIA,g,8,4,1,0.183673,0.310345
RIA,g,8,5,1,0.057692,0.109091
RIA,g,8,6,0,0,0
RIA,l,1,1,0.397163,1,0.568528
RIA,l,1,2,0.692308,0.147541,0.243243
RIA,l,1,3,0.728814,0.597222,0.656489
RIA,l,1,4,1,0.183673,0.310345
RIA,l,1,5,1,0.057692,0.109091
RIA,l,1,6,0,0,0
RIA,l,3,1,0.397163,1,0.568528
RIA,l,3,2,0.692308,0.147541,0.243243
RIA,l,3,3,0.728814,0.597222,0.656489
RIA,l,3,4,1,0.183673,0.310345
RIA,l,3,5,1,0.057692,0.109091
RIA,l,3,6,0,0,0
RIA,l,8,1,0.397163,1,0.568528
RIA,l,8,2,0.692308,0.147541,0.243243
RIA,l,8,3,0.728814,0.597222,0.656489
RIA,l,8,4,1,0.183673,0.310345
RIA,l,8,5,1,0.057692,0.109091
RIA,l,8,6,0,0,0
RIONA,g,1,1,0.99115,1,0.995556
RIONA,g,1,2,0.965517,0.918033,0.941176
RIONA,g,1,3,1,1,1
RIONA,g,1,4,0.921569,0.959184,0.94
RIONA,g,1,5,1,1,1
RIONA,g,1,6,1,1,1
RIONA,g,3,1,0.99115,1,0.995556
RIONA,g,3,2,0.964912,0.901639,0.932203
RIONA,g,3,3,1,1,1
RIONA,g,3,4,0.903846,0.959184,0.930693
RIONA,g,3,5,1,1,1
RIONA,g,3,6,1,1,1
RIONA,g,8,1,1,0.991071,0.995516
RIONA,g,8,2,0.967742,0.983607,0.97561
RIONA,g,8,3,1,1,1
RIONA,g,8,4,0.979167,0.959184,0.969072
RIONA,g,8,5,0.981132,1,0.990476
RIONA,g,8,6,1,1,1
RIONA,l,1,1,0.99115,1,0.995556
RIONA,l,1,2,0.965517,0.918033,0.941176
RIONA,l,1,3,1,1,1
RIONA,l,1,4,0.921569,0.959184,0.94
RIONA,l,1,5,1,1,1
RIONA,l,1,6,1,1,1
RIONA,l,3,1,0.99115,1,0.995556
RIONA,l,3,2,0.964912,0.901639,0.932203
RIONA,l,3,3,1,1,1
RIONA,l,3,4,0.903846,0.959184,0.930693
RIONA,l,3,5,1,1,1
RIONA,l,3,6,1,1,1
RIONA,l,8,1,0.991071,0.991071,0.991071
RIONA,l,8,2,0.967213,0.967213,0.967213
RIONA,l,8,3,1,1,1
RIONA,l,8,4,0.979167,0.959184,0.969072
RIONA,l,8,5,0.981132,1,0.990476
RIONA,l,8,6,1,1,1
