Algorithm,Mode,k,NCId,NPrecision,NRecall,NF1
KNN,g,1,1,0.99115,1,0.995556
KNN,g,1,2,0.965517,0.918033,0.941176
KNN,g,1,3,1,1,1
KNN,g,1,4,0.921569,0.959184,0.94
KNN,g,1,5,1,1,1
KNN,g,1,6,1,1,1
KNN,g,3,1,0.991071,0.991071,0.991071
KNN,g,3,2,0.964912,0.901639,0.932203
KNN,g,3,3,1,1,1
KNN,g,3,4,0.903846,0.959184,0.930693
KNN,g,3,5,0.981132,1,0.990476
KNN,g,3,6,1,1,1
KNN,g,8,1,1,0.982143,0.990991
KNN,g,8,2,0.965517,0.918033,0.941176
KNN,g,8,3,1,1,1
KNN,g,8,4,0.903846,0.959184,0.930693
KNN,g,8,5,0.962963,1,0.981132
KNN,g,8,6,1,1,1
KNN,l,1,1,0.99115,1,0.995556
KNN,l,1,2,0.965517,0.918033,0.941176
KNN,l,1,3,1,1,1
KNN,l,1,4,0.921569,0.959184,0.94
KNN,l,1,5,1,1,1
KNN,l,1,6,1,1,1
KNN,l,3,1,0.991071,0.991071,0.991071
KNN,l,3,2,0.964912,0.901639,0.932203
KNN,l,3,3,1,1,1
KNN,l,3,4,0.903846,0.959184,0.930693
KNN,l,3,5,0.981132,1,0.990476
KNN,l,3,6,1,1,1
KNN,l,8,1,1,0.982143,0.990991
KNN,l,8,2,0.965517,0.918033,0.941176
KNN,l,8,3,1,1,1
KNN,l,8,4,0.903846,0.959184,0.930693
KNN,l,8,5,0.962963,1,0.981132
KNN,l,8,6,1,1,1
RIA,g,1,1,0.88189,1,0.937238
RIA,g,1,2,0.898305,0.868852,0.883333
RIA,g,1,3,0.957746,0.944444,0.951049
RIA,g,1,4,0.909091,0.816327,0.860215
RIA,g,1,5,1,0.865385,0.927835
RIA,g,1,6,0.75,0.75,0.75
RIA,g,3,1,0.88189,1,0.937238
RIA,g,3,2,0.898305,0.868852,0.883333
RIA,g,3,3,0.957746,0.944444,0.951049
RIA,g,3,4,0.909091,0.816327,0.860215
RIA,g,3,5,1,0.865385,0.927835
RIA,g,3,6,0.75,0.75,0.75
RIA,g,8,1,0.88189,1,0.937238
RIA,g,8,2,0.898305,0.868852,0.883333
RIA,g,8,3,0.957746,0.944444,0.951049
RIA,g,8,4,0.909091,0.816327,0.860215
RIA,g,8,5,1,0.865385,0.927835
RIA,g,8,6,0.75,0.75,0.75
RIA,l,1,1,0.88189,1,0.937238
RIA,l,1,2,0.898305,0.868852,0.883333
RIA,l,1,3,0.944444,0.944444,0.944444
RIA,l,1,4,0.906977,0.795918,0.847826
RIA,l,1,5,1,0.865385,0.927835
RIA,l,1,6,0.75,0.75,0.75
RIA,l,3,1,0.88189,1,0.937238
RIA,l,3,2,0.898305,0.868852,0.883333
RIA,l,3,3,0.944444,0.944444,0.944444
RIA,l,3,4,0.906977,0.795918,0.847826
RIA,l,3,5,1,0.865385,0.927835
RIA,l,3,6,0.75,0.75,0.75
RIA,l,8,1,0.88189,1,0.937238
RIA,l,8,2,0.898305,0.868852,0.883333
RIA,l,8,3,0.944444,0.944444,0.944444
RIA,l,8,4,0.906977,0.795918,0.847826
RIA,l,8,5,1,0.865385,0.927835
RIA,l,8,6,0.75,0.75,0.75
RIONA,g,1,1,0.99115,1,0.995556
RIONA,g,1,2,0.965517,0.918033,0.941176
RIONA,g,1,3,1,1,1
RIONA,g,1,4,0.921569,0.959184,0.94
RIONA,g,1,5,1,1,1
RIONA,g,1,6,1,1,1
RIONA,g,3,1,0.991071,0.991071,0.991071
RIONA,g,3,2,0.964912,0.901639,0.932203
RIONA,g,3,3,1,1,1
RIONA,g,3,4,0.903846,0.959184,0.930693
RIONA,g,3,5,0.981132,1,0.990476
RIONA,g,3,6,1,1,1
RIONA,g,8,1,1,0.991071,0.995516
RIONA,g,8,2,0.965517,0.918033,0.941176
RIONA,g,8,3,1,1,1
RIONA,g,8,4,0.903846,0.959184,0.930693
RIONA,g,8,5,0.981132,1,0.990476
RIONA,g,8,6,1,1,1
RIONA,l,1,1,0.99115,1,0.995556
RIONA,l,1,2,0.965517,0.918033,0.941176
RIONA,l,1,3,1,1,1
RIONA,l,1,4,0.921569,0.959184,0.94
RIONA,l,1,5,1,1,1
RIONA,l,1,6,1,1,1
RIONA,l,3,1,0.991071,0.991071,0.991071
RIONA,l,3,2,0.964912,0.901639,0.932203
RIONA,l,3,3,1,1,1
RIONA,l,3,4,0.903846,0.959184,0.930693
RIONA,l,3,5,0.981132,1,0.990476
RIONA,l,3,6,1,1,1
RIONA,l,8,1,1,0.982143,0.990991
RIONA,l,8,2,0.965517,0.918033,0.941176
RIONA,l,8,3,1,1,1
RIONA,l,8,4,0.903846,0.959184,0.930693
RIONA,l,8,5,0.962963,1,0.981132
RIONA,l,8,6,1,1,1
