Algorithm,Mode,k,read,preprocess,classify,write,total
KNN,g,1,1.5338,0.3053,263.441,3.3324,268.613
KNN,g,3,1.5338,0.3053,269.334,4.1562,275.329
KNN,g,8,1.5338,0.3053,263.859,5.9048,271.603
KNN,l,1,1.5338,0.3053,474.822,5.0803,481.742
KNN,l,3,1.5338,0.3053,447.56,6.876,456.275
KNN,l,8,1.5338,0.3053,402.851,6.2864,410.977
RIA,g,1,1.5338,0.3053,4070.67,3.1871,4075.7
RIA,g,3,1.5338,0.3053,4160.37,4.9478,4167.15
RIA,g,8,1.5338,0.3053,4369.82,8.3082,4379.97
RIA,l,1,1.5338,0.3053,4377.57,3.9063,4383.31
RIA,l,3,1.5338,0.3053,4449.44,5.3269,4456.61
RIA,l,8,1.5338,0.3053,4427.09,6.4639,4435.39
RIONA,g,1,1.5338,0.3053,66.0803,4.1216,72.041
RIONA,g,3,1.5338,0.3053,69.9971,5.0542,76.8904
RIONA,g,8,1.5338,0.3053,75.2628,7.1053,84.2072
RIONA,l,1,1.5338,0.3053,189.433,3.6429,194.915
RIONA,l,3,1.5338,0.3053,195.234,4.7155,201.788
RIONA,l,8,1.5338,0.3053,180.955,6.9979,189.792
