Algorithm,Mode,k,CId,Precision,Recall,F1
KNN,g,1,1,0.779292,0.817143,0.797768
KNN,g,1,2,0.518797,0.46,0.487633
KNN,g,3,1,0.771022,0.851429,0.809233
KNN,g,3,2,0.54185,0.41,0.466793
KNN,g,9,1,0.775713,0.894286,0.83079
KNN,g,9,2,0.61658,0.396667,0.482759
KNN,l,1,1,0.779292,0.817143,0.797768
KNN,l,1,2,0.518797,0.46,0.487633
KNN,l,3,1,0.771022,0.851429,0.809233
KNN,l,3,2,0.54185,0.41,0.466793
KNN,l,9,1,0.775713,0.894286,0.83079
KNN,l,9,2,0.61658,0.396667,0.482759
RIA,g,1,1,0.700701,1,0.824014
RIA,g,1,2,1,0.003333,0.006645
RIA,g,3,1,0.700701,1,0.824014
RIA,g,3,2,1,0.003333,0.006645
RIA,g,9,1,0.700701,1,0.824014
RIA,g,9,2,1,0.003333,0.006645
RIA,l,1,1,0.700701,1,0.824014
RIA,l,1,2,1,0.003333,0.006645
RIA,l,3,1,0.700701,1,0.824014
RIA,l,3,2,1,0.003333,0.006645
RIA,l,9,1,0.700701,1,0.824014
RIA,l,9,2,1,0.003333,0.006645
RIONA,g,1,1,0.782787,0.818571,0.800279
RIONA,g,1,2,0.526119,0.47,0.496479
RIONA,g,3,1,0.775194,0.857143,0.814111
RIONA,g,3,2,0.557522,0.42,0.479087
RIONA,g,9,1,0.778465,0.898571,0.834218
RIONA,g,9,2,0.630208,0.403333,0.49187
RIONA,l,1,1,0.779292,0.817143,0.797768
RIONA,l,1,2,0.518797,0.46,0.487633
RIONA,l,3,1,0.770619,0.854286,0.810298
RIONA,l,3,2,0.544643,0.406667,0.465649
RIONA,l,9,1,0.776267,0.897143,0.832339
RIONA,l,9,2,0.623037,0.396667,0.484725
