Algorithm,Mode,k,NCId,NPrecision,NRecall,NF1
KNN,g,1,1,0.779292,0.817143,0.797768
KNN,g,1,2,0.518797,0.46,0.487633
KNN,g,3,1,0.841542,0.561429,0.673522
KNN,g,3,2,0.424015,0.753333,0.542617
KNN,g,9,1,0.84153,0.66,0.739792
KNN,g,9,2,0.472284,0.71,0.567244
KNN,l,1,1,0.779292,0.817143,0.797768
KNN,l,1,2,0.518797,0.46,0.487633
KNN,l,3,1,0.841542,0.561429,0.673522
KNN,l,3,2,0.424015,0.753333,0.542617
KNN,l,9,1,0.84153,0.66,0.739792
KNN,l,9,2,0.472284,0.71,0.567244
RIA,g,1,1,0.780906,0.911429,0.841134
RIA,g,1,2,0.661202,0.403333,0.501035
RIA,g,3,1,0.780906,0.911429,0.841134
RIA,g,3,2,0.661202,0.403333,0.501035
RIA,g,9,1,0.780906,0.911429,0.841134
RIA,g,9,2,0.661202,0.403333,0.501035
RIA,l,1,1,0.78022,0.912857,0.841343
RIA,l,1,2,0.662983,0.4,0.49896
RIA,l,3,1,0.78022,0.912857,0.841343
RIA,l,3,2,0.662983,0.4,0.49896
RIA,l,9,1,0.78022,0.912857,0.841343
RIA,l,9,2,0.662983,0.4,0.49896
RIONA,g,1,1,0.782787,0.818571,0.800279
RIONA,g,1,2,0.526119,0.47,0.496479
RIONA,g,3,1,0.845161,0.561429,0.674678
RIONA,g,3,2,0.426168,0.76,0.546108
RIONA,g,9,1,0.847397,0.674286,0.750994
RIONA,g,9,2,0.485327,0.716667,0.578735
RIONA,l,1,1,0.779292,0.817143,0.797768
RIONA,l,1,2,0.518797,0.46,0.487633
RIONA,l,3,1,0.841542,0.561429,0.673522
RIONA,l,3,2,0.424015,0.753333,0.542617
RIONA,l,9,1,0.841155,0.665714,0.743222
RIONA,l,9,2,0.475336,0.706667,0.568365
