Algorithm,Mode,k,read,preprocess,classify,write,total
KNN,g,1,2.9297,0.3826,2208.01,10.4557,2221.78
KNN,g,3,2.9297,0.3826,1953.52,13.4475,1970.28
KNN,g,9,2.9297,0.3826,1912.95,43.8704,1960.13
KNN,l,1,2.9297,0.3826,2363.58,13.8742,2380.77
KNN,l,3,2.9297,0.3826,2443.86,17.3232,2464.49
KNN,l,9,2.9297,0.3826,2613.46,38.5931,2655.37
RIA,g,1,2.9297,0.3826,47067.1,12.8522,47083.3
RIA,g,3,2.9297,0.3826,36038.8,8.1361,36050.3
RIA,g,9,2.9297,0.3826,32248.2,14.0738,32265.6
RIA,l,1,2.9297,0.3826,32968.3,6.2413,32977.9
RIA,l,3,2.9297,0.3826,42176.8,13.6529,42193.7
RIA,l,9,2.9297,0.3826,48851.2,21.7289,48876.2
RIONA,g,1,2.9297,0.3826,314.712,6.1219,324.147
RIONA,g,3,2.9297,0.3826,340.411,7.3942,351.118
RIONA,g,9,2.9297,0.3826,373.837,15.2399,392.389
RIONA,l,1,2.9297,0.3826,844.647,7.0999,855.059
RIONA,l,3,2.9297,0.3826,822.171,8.3499,833.833
RIONA,l,9,2.9297,0.3826,1117.82,25.0313,1146.16
