Algorithm,Mode,k,CId,Precision,Recall,F1
KNN,g,1,1,0.6875,0.673469,0.680412
KNN,g,1,2,0.645833,0.62,0.632653
KNN,g,1,3,0.709091,0.75,0.728972
KNN,g,3,1,0.490909,0.55102,0.519231
KNN,g,3,2,0.486486,0.36,0.413793
KNN,g,3,3,0.559322,0.634615,0.594595
KNN,g,7,1,0.45283,0.489796,0.470588
KNN,g,7,2,0.411765,0.28,0.333333
KNN,g,7,3,0.53125,0.653846,0.586207
KNN,l,1,1,0.6875,0.673469,0.680412
KNN,l,1,2,0.645833,0.62,0.632653
KNN,l,1,3,0.709091,0.75,0.728972
KNN,l,3,1,0.490909,0.55102,0.519231
KNN,l,3,2,0.486486,0.36,0.413793
KNN,l,3,3,0.559322,0.634615,0.594595
KNN,l,7,1,0.45283,0.489796,0.470588
KNN,l,7,2,0.411765,0.28,0.333333
KNN,l,7,3,0.53125,0.653846,0.586207
RIA,g,1,1,0.597015,0.816327,0.689655
RIA,g,1,2,0.7,0.56,0.622222
RIA,g,1,3,0.704545,0.596154,0.645833
RIA,g,3,1,0.597015,0.816327,0.689655
RIA,g,3,2,0.7,0.56,0.622222
RIA,g,3,3,0.704545,0.596154,0.645833
RIA,g,7,1,0.597015,0.816327,0.689655
RIA,g,7,2,0.7,0.56,0.622222
RIA,g,7,3,0.704545,0.596154,0.645833
RIA,l,1,1,0.597015,0.816327,0.689655
RIA,l,1,2,0.7,0.56,0.622222
RIA,l,1,3,0.704545,0.596154,0.645833
RIA,l,3,1,0.597015,0.816327,0.689655
RIA,l,3,2,0.7,0.56,0.622222
RIA,l,3,3,0.704545,0.596154,0.645833
RIA,l,7,1,0.597015,0.816327,0.689655
RIA,l,7,2,0.7,0.56,0.622222
RIA,l,7,3,0.704545,0.596154,0.645833
RIONA,g,1,1,0.6875,0.673469,0.680412
RIONA,g,1,2,0.645833,0.62,0.632653
RIONA,g,1,3,0.709091,0.75,0.728972
RIONA,g,3,1,0.6,0.734694,0.66055
RIONA,g,3,2,0.666667,0.52,0.58427
RIONA,g,3,3,0.653846,0.653846,0.653846
RIONA,g,7,1,0.666667,0.816327,0.733945
RIONA,g,7,2,0.736842,0.56,0.636364
RIONA,g,7,3,0.698113,0.711538,0.704762
RIONA,l,1,1,0.6875,0.673469,0.680412
RIONA,l,1,2,0.645833,0.62,0.632653
RIONA,l,1,3,0.709091,0.75,0.728972
RIONA,l,3,1,0.6,0.734694,0.66055
RIONA,l,3,2,0.666667,0.52,0.58427
RIONA,l,3,3,0.653846,0.653846,0.653846
RIONA,l,7,1,0.666667,0.816327,0.733945
RIONA,l,7,2,0.736842,0.56,0.636364
RIONA,l,7,3,0.698113,0.711538,0.704762
