Algorithm,Mode,k,read,preprocess,classify,write,total
KNN,g,1,1.0505,0.0143,4.6344,2.0041,288.018
KNN,g,3,1.0505,0.0143,4.6309,1.8171,295.12
KNN,g,7,1.0505,0.0143,6.5294,2.5729,304.69
KNN,l,1,1.0505,0.0143,7.7663,1.8244,314.832
KNN,l,3,1.0505,0.0143,5.6794,2.0491,323.031
KNN,l,7,1.0505,0.0143,5.5737,2.7354,331.802
RIA,g,1,1.0505,0.0143,38.5581,1.6436,82.0765
RIA,g,3,1.0505,0.0143,40.2954,2.1537,124.962
RIA,g,7,1.0505,0.0143,33.9083,2.2714,161.723
RIA,l,1,1.0505,0.0143,37.6771,2.0732,201.815
RIA,l,3,1.0505,0.0143,36.4595,2.4278,241.167
RIA,l,7,1.0505,0.0143,36.7277,2.7179,281.005
RIONA,g,1,1.0505,0.0143,1.6805,2.4374,5.2135
RIONA,g,3,1.0505,0.0143,3.0089,1.8773,10.5984
RIONA,g,7,1.0505,0.0143,2.6324,5.179,18.8034
RIONA,l,1,1.0505,0.0143,5.1773,2.5894,27.1392
RIONA,l,3,1.0505,0.0143,4.7126,2.1383,34.4891
RIONA,l,7,1.0505,0.0143,3.9063,2.5329,41.4181
